日期,红盘,绿盘,涨停,跌停,炸板,3连板以上个股数,3连板,2连板,首板,3连板以上个股,3连板个股,2连板个股,备注
2025-08-07,2118,3085,59,8,16,5,4,5,45,中马传动5;长城军工4;福日电子4;北纬科技4;国机精工4,中欣氟材;洪通燃气;华光环能;日海智能,东方精工;海立股份;云中马;佳缘科技;华纬科技,
2025-08-08,2429,2801,61,2,24,4,0,6,51,国机精工5;洪通燃气4;华光环能4;日海智能4,,尚荣医疗;赛诺医疗;宁波韵升;上海港湾;吉视传媒;际华集团,
2025-08-11,4188,1067,78,4,28,0,3,14,61,,赛诺医疗;上海港湾;吉视传媒,洪田股份;美诺华;北新路桥;新疆交建;美丽生态;万通发展;国统股份;西部建设;青松建化;航天科技;新疆火炬;天顺股份;德生科技;八一钢铁,
2025-08-12,2084,3166,51,3,22,1,5,13,32,吉视传媒4,新疆交建;北新路桥;万通发展;新疆火炬;八一钢铁,华胜天成;必得科技;国光连锁;九鼎投资;同洲电子;海立股份;深物业A;飞亚达;江特电机;浙江东日;北纬科技;大元泵业;桂发祥,
2025-08-13,2733,2457,92,0,28,3,9,12,68,吉视传媒5;新疆交建4;万通发展4,必得科技;国光连锁;九鼎投资;海立股份;同洲电子;浙江东日;北纬科技;大元泵业;桂发祥,凯美特气;创新医疗;合百集团;电子城;博威合金;福日电子;洪通燃气;中电鑫龙;国盛金控;恒宝股份;光库科技;烽火电子,
2025-08-14,735,4647,44,10,31,1,4,10,29,大元泵业4,创新医疗;电子城;恒宝股份;烽火电子,爱丽家居;森特股份;衢州发展;金田股份;腾龙股份;飞龙股份;模塑科技;宏和科技;长城证券;特发信息,
2025-08-15,4624,644,86,2,28,1,7,6,72,大元泵业5,爱丽家居;衢州发展;金田股份;飞龙股份;腾龙股份;宏和科技;长城证券,济民健康;冠石科技;卧龙电驱;金时科技;山东章鼓;中粮糖业,
2025-08-18,4036,1222,108,1,43,5,2,19,82,大元泵业6;爱丽家居4;金田股份4;飞龙股份4;长城证券4,济民健康;中粮糖业,大豪科技;新天药业;海能技术;申联生物;同洲电子;川润股份;影石创新;科森科技;华宏科技;再升科技;上海电力;方正科技;南亚新材;诺德股份;中恒电气;长缆科技;科创信息;大智慧;汉钟精机,
2025-08-19,2983,2255,84,5,35,1,9,16,58,济民健康4,新天药业;申联生物;同洲电子;川润股份;科森科技;华宏科技;诺德股份;中恒电气;汉钟精机,利欧股份;华胜天成;中科金财;汇得科技;福瑞股份;园林股份;慈文传媒;明新旭腾;领益智造;红豆股份;中科海讯;剑桥科技;四创电子;四方科技;伟隆股份;国机精工,
2025-08-20,3675,1587,86,11,21,3,1,12,70,济民健康5;科森科技4;汉钟精机4,园林股份,北矿科技;云南锗业;华丽家族;电子城;腾龙股份;南方精工;全柴动力;世茂能源;泰豪科技;华立股份;御银股份;酒鬼酒,
2025-08-21,2169,3091,42,12,27,2,2,5,33,科森科技5;园林股份4,世茂能源;御银股份,仁和药业;汇嘉时代;成飞集成;日丰股份;华升股份,
2025-08-22,2802,2396,69,1,10,4,2,5,58,科森科技6;园林股份5;世茂能源4;御银股份4,汇嘉时代;成飞集成,道恩股份;中油资本;万通发展;华光环能;天融信,
